product_id,implicit_context_term__analysis_observed,implicit_context_term__analysis_score,implicit_context_term__analytics_observed,implicit_context_term__analytics_score,implicit_context_term__attributes_observed,implicit_context_term__attributes_score,implicit_context_term__availability_observed,implicit_context_term__availability_score,implicit_context_term__best_observed,implicit_context_term__best_score,implicit_context_term__business_observed,implicit_context_term__business_score,implicit_context_term__case_observed,implicit_context_term__case_score,implicit_context_term__company_observed,implicit_context_term__company_score,implicit_context_term__consumer_observed,implicit_context_term__consumer_score,implicit_context_term__contact_observed,implicit_context_term__contact_score,implicit_context_term__country_observed,implicit_context_term__country_score,implicit_context_term__cover_observed,implicit_context_term__cover_score,implicit_context_term__coverage_observed,implicit_context_term__coverage_score,implicit_context_term__customization_observed,implicit_context_term__customization_score,implicit_context_term__detail_observed,implicit_context_term__detail_score,implicit_context_term__file_observed,implicit_context_term__file_score,implicit_context_term__global_scope_observed,implicit_context_term__global_scope_score,implicit_context_term__included_content_observed,implicit_context_term__included_content_score,implicit_context_term__industry_observed,implicit_context_term__industry_score,implicit_context_term__information_observed,implicit_context_term__information_score,implicit_context_term__insights_observed,implicit_context_term__insights_score,implicit_context_term__leads_observed,implicit_context_term__leads_score,implicit_context_term__level_observed,implicit_context_term__level_score,implicit_context_term__list_observed,implicit_context_term__list_score,implicit_context_term__location_observed,implicit_context_term__location_score,implicit_context_term__management_observed,implicit_context_term__management_score,implicit_context_term__market_observed,implicit_context_term__market_score,implicit_context_term__name_observed,implicit_context_term__name_score,implicit_context_term__need_observed,implicit_context_term__need_score,implicit_context_term__offer_observed,implicit_context_term__offer_score,implicit_context_term__price_observed,implicit_context_term__price_score,implicit_context_term__provided_content_observed,implicit_context_term__provided_content_score,implicit_context_term__quality_wording_observed,implicit_context_term__quality_wording_score,implicit_context_term__report_observed,implicit_context_term__report_score,implicit_context_term__requirements_observed,implicit_context_term__requirements_score,implicit_context_term__research_observed,implicit_context_term__research_score,implicit_context_term__sales_observed,implicit_context_term__sales_score,implicit_context_term__scale_wording_observed,implicit_context_term__scale_wording_score,implicit_context_term__service_observed,implicit_context_term__service_score,implicit_context_term__sources_observed,implicit_context_term__sources_score,implicit_context_term__state_observed,implicit_context_term__state_score,implicit_context_term__storage_observed,implicit_context_term__storage_score,implicit_context_term__time_observed,implicit_context_term__time_score,implicit_context_term__type_observed,implicit_context_term__type_score,implicit_context_term__use_observed,implicit_context_term__use_score,implicit_context_term__users_observed,implicit_context_term__users_score,implicit_context_term__websites_observed,implicit_context_term__websites_score,implicit_context_term__worldwide_scope_observed,implicit_context_term__worldwide_scope_score,implicit_context_term__year_wording_observed,implicit_context_term__year_wording_score
119,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
165,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
132,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
125,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
157,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
148,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
151,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
138,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
171,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
176,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
