feature,importance
History,0.2602660355581987
S3Bucket,0.13439587515158188
units,0.12402257995338482
DelMethod,0.07565266344656797
Email,0.0565135103862097
implicit_context_term__sources_score,0.05262565033783893
PercGDP,0.04837944765140606
csv,0.037325739686425274
entities,0.03722232526501695
implicit_score__term_state__scale_wording_unresolved_listing_claim_observed,0.03167260637594414
records,0.029506999695218812
ProfServices,0.028946424367777723
people,0.020506726968899436
ondemand,0.014121887100178974
IdIndividuals,0.00959405449513237
symbols,0.005835863082419605
implicit_context_term__service_score,0.0043082984925762536
Limitations,0.003571198494518619
Download,0.0028718803634518696
implicit_score__term_state__provided_content_mixed_evidence_score,0.0027245090721989933
implicit_context_term__type_observed,0.00238793859971515
NCountries,0.0023845790454799635
IdCompanies,0.002187308653640479
products,0.0018387203774235226
implicit_score__term_state__insights_bounded_limitation_observed,0.0017229129353221713
locations,0.0015836307837306985
implicit_context_term__websites_observed,0.001363567568570268
implicit_context_term__attributes_score,0.0011750339188846136
weekly,0.0009479083824524107
implicit_context_term__name_observed,0.00084505532539143
implicit_score__term_state__market_confirmed_property_score,0.000827681224388941
implicit_context_term__report_score,0.0007814555751706695
implicit_context_term__included_content_observed,0.0006552377824668663
implicit_score__term_state__service_unresolved_listing_claim_score,0.00047886139350750194
implicit_score__term_state__quality_wording_unresolved_listing_claim_observed,0.00032036538670373005
implicit_context_term__global_scope_observed,0.00030651550478948586
implicit_context_term__information_score,0.00012511369861487124
RESTAPI,3.1079828190177667e-06
implicit_context_term__information_observed,7.299159809622608e-07
EnrichApp,0.0
FeedAPI,0.0
UIExport,0.0
USD,0.0
assets,0.0
daily,0.0
events,0.0
features,0.0
implicit_context_term__analysis_observed,0.0
implicit_context_term__analysis_score,0.0
implicit_context_term__attributes_observed,0.0
implicit_context_term__global_scope_score,0.0
implicit_context_term__included_content_score,0.0
implicit_context_term__level_observed,0.0
implicit_context_term__level_score,0.0
implicit_context_term__name_score,0.0
implicit_context_term__report_observed,0.0
implicit_context_term__service_observed,0.0
implicit_context_term__sources_observed,0.0
implicit_context_term__type_score,0.0
implicit_context_term__websites_score,0.0
implicit_score__term_state__best_confirmed_property_observed,0.0
implicit_score__term_state__best_confirmed_property_score,0.0
implicit_score__term_state__best_unresolved_listing_claim_observed,0.0
implicit_score__term_state__best_unresolved_listing_claim_score,0.0
implicit_score__term_state__cover_bounded_limitation_observed,0.0
implicit_score__term_state__cover_bounded_limitation_score,0.0
implicit_score__term_state__customization_bounded_limitation_observed,0.0
implicit_score__term_state__customization_bounded_limitation_score,0.0
implicit_score__term_state__customization_unresolved_listing_claim_observed,0.0
implicit_score__term_state__customization_unresolved_listing_claim_score,0.0
implicit_score__term_state__global_scope_confirmed_property_observed,0.0
implicit_score__term_state__global_scope_confirmed_property_score,0.0
implicit_score__term_state__global_scope_mixed_evidence_observed,0.0
implicit_score__term_state__global_scope_mixed_evidence_score,0.0
implicit_score__term_state__information_unresolved_listing_claim_observed,0.0
implicit_score__term_state__information_unresolved_listing_claim_score,0.0
implicit_score__term_state__insights_bounded_limitation_score,0.0
implicit_score__term_state__leads_confirmed_property_observed,0.0
implicit_score__term_state__leads_confirmed_property_score,0.0
implicit_score__term_state__level_unresolved_listing_claim_observed,0.0
implicit_score__term_state__level_unresolved_listing_claim_score,0.0
implicit_score__term_state__market_confirmed_property_observed,0.0
implicit_score__term_state__need_confirmed_property_observed,0.0
implicit_score__term_state__need_confirmed_property_score,0.0
implicit_score__term_state__offer_mixed_evidence_observed,0.0
implicit_score__term_state__offer_mixed_evidence_score,0.0
implicit_score__term_state__provided_content_mixed_evidence_observed,0.0
implicit_score__term_state__quality_wording_unresolved_listing_claim_score,0.0
implicit_score__term_state__report_confirmed_property_observed,0.0
implicit_score__term_state__report_confirmed_property_score,0.0
implicit_score__term_state__requirements_confirmed_property_observed,0.0
implicit_score__term_state__requirements_confirmed_property_score,0.0
implicit_score__term_state__requirements_unresolved_listing_claim_observed,0.0
implicit_score__term_state__requirements_unresolved_listing_claim_score,0.0
implicit_score__term_state__scale_wording_unresolved_listing_claim_score,0.0
implicit_score__term_state__service_unresolved_listing_claim_observed,0.0
implicit_score__term_state__state_unresolved_listing_claim_observed,0.0
implicit_score__term_state__state_unresolved_listing_claim_score,0.0
implicit_score__term_state__time_bounded_limitation_observed,0.0
implicit_score__term_state__time_bounded_limitation_score,0.0
implicit_score__term_state__use_unresolved_listing_claim_observed,0.0
implicit_score__term_state__use_unresolved_listing_claim_score,0.0
json,0.0
monthly,0.0
realtime,0.0
requests,0.0
sources,0.0
