product_id,controlled_condition_present_audit_only,observable_readiness_level,buyer_initial_patience,seller_initial_patience
118,False,not_applicable,6,7
161,False,not_applicable,6,8
230,False,not_applicable,8,8
240,False,not_applicable,8,7
514,False,not_applicable,7,8
781,False,not_applicable,7,6
836,False,not_applicable,8,8
845,False,not_applicable,6,6
879,False,not_applicable,7,8
989,False,not_applicable,8,6
1205,False,not_applicable,8,7
1225,False,not_applicable,6,6
1383,False,not_applicable,6,7
1474,False,not_applicable,6,6
1541,False,not_applicable,6,8
1776,False,not_applicable,8,6
1830,False,not_applicable,7,7
1903,False,not_applicable,6,8
1918,False,not_applicable,6,6
1950,False,not_applicable,8,7
1961,False,not_applicable,7,7
2034,False,not_applicable,8,7
2163,False,not_applicable,8,7
2164,False,not_applicable,6,8
2371,False,not_applicable,7,7
2376,False,not_applicable,8,8
2411,False,not_applicable,7,7
2471,False,not_applicable,6,8
2554,False,not_applicable,6,7
2570,False,not_applicable,7,7
2572,False,not_applicable,8,8
2577,False,not_applicable,7,6
2725,False,not_applicable,8,7
2727,False,not_applicable,8,6
2753,False,not_applicable,7,6
2755,False,not_applicable,8,8
2938,False,not_applicable,8,8
3156,False,not_applicable,6,7
3214,False,not_applicable,7,6
3349,False,not_applicable,8,7
3401,False,not_applicable,7,7
3464,False,not_applicable,8,8
3627,False,not_applicable,7,6
3712,False,not_applicable,8,7
3719,False,not_applicable,7,6
3898,False,not_applicable,7,8
4096,False,not_applicable,7,7
4125,False,not_applicable,8,6
4149,False,not_applicable,7,8
4301,False,not_applicable,8,6
4380,False,not_applicable,7,7
4458,False,not_applicable,8,6
4570,False,not_applicable,8,8
4721,False,not_applicable,7,7
4758,False,not_applicable,7,6
4788,False,not_applicable,7,8
4791,False,not_applicable,6,8
4793,False,not_applicable,6,7
4853,False,not_applicable,6,8
5012,False,not_applicable,8,6
5079,False,not_applicable,8,6
5122,False,not_applicable,7,6
5292,False,not_applicable,7,7
5434,False,not_applicable,7,7
5477,False,not_applicable,7,6
5482,False,not_applicable,8,7
5518,False,not_applicable,6,7
5556,False,not_applicable,8,8
5565,False,not_applicable,8,7
5578,False,not_applicable,6,6
6027,False,not_applicable,8,6
6043,False,not_applicable,8,7
6643,False,not_applicable,6,7
6644,False,not_applicable,8,6
6703,False,not_applicable,8,6
6806,False,not_applicable,6,8
